"","yr","mo.no.char","site","mo.no","mo.char","date","julian","rainfall","i","day","NDVI.wks.a","NDVI.wks.b","NDVI.MVC.mo","day.no","SOI.mean","SOI.max","SOI.min","SOI.mean.win","SOI.mean.spr","SOI.mean.sum","SOI.mean.fal","NAO.mean.win","NAO.mean.spr","NAO.mean.sum","NAO.mean.fal","NAO.ann.mean","NAO.ann.max","NAO.ann.min","el.nino","nino.strt.str","nino.end.str","la.nino","nina.strt.str","nina.end.str"
"259",1995,"06","scrub",6,"Jun","1995-06-15",166,21.5030326843262,6,15,0.3659,0.2734,0.3659,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"260",1995,"07","broadleaf",7,"Jul","1995-07-15",196,57.0683403015137,7,15,0.6605,0.642,0.6605,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"261",1995,"03","broadleaf",3,"Mar","1995-03-15",74,28.3646965026855,3,15,0.7568,0.6069,0.7568,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"262",1995,"03","Lloyd",3,"Mar","1995-03-15",74,36.9123649597168,3,15,0.6117,0.6008,0.6117,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"263",1995,"03","scrub",3,"Mar","1995-03-15",74,34.9479522705078,3,15,0.4326,0.3878,0.4326,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"264",1995,"08","Lloyd",8,"Aug","1995-08-15",227,169.524185180664,8,15,0.6239,0.6562,0.6562,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"265",1995,"08","scrub",8,"Aug","1995-08-15",227,99.4997634887695,8,15,0.5312,0.5122,0.5312,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"266",1995,"09","broadleaf",9,"Sep","1995-09-15",258,65.3570098876953,9,15,0.7197,0.7003,0.7197,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"267",1995,"09","Lloyd",9,"Sep","1995-09-15",258,135.845458984375,9,15,0.6836,0.6836,0.6836,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"268",1995,"09","scrub",9,"Sep","1995-09-15",258,59.2792282104492,9,15,0.5431,0.5849,0.5849,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"269",1995,"10","broadleaf",10,"Oct","1995-10-15",288,134.120727539062,10,15,0.853,0.7345,0.853,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"270",1995,"10","Lloyd",10,"Oct","1995-10-15",288,278.847442626953,10,15,0.5995,0.715,0.715,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"271",1995,"10","scrub",10,"Oct","1995-10-15",288,154.442443847656,10,15,0.5789,0.5371,0.5789,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"272",1995,"11","broadleaf",11,"Nov","1995-11-15",319,30.4129295349121,11,15,0.8594,0.8483,0.8594,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"273",1995,"11","Lloyd",11,"Nov","1995-11-15",319,23.7845268249512,11,15,0.7459,0.7499,0.7499,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"274",1995,"11","scrub",11,"Nov","1995-11-15",319,14.5584564208984,11,15,0.5829,0.5122,0.5829,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"275",1995,"12","broadleaf",12,"Dec","1995-12-15",349,24.6172256469727,12,15,0.7817,0.8113,0.8113,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"276",1995,"12","Lloyd",12,"Dec","1995-12-15",349,42.2125511169434,12,15,0.7137,0.6562,0.7137,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"277",1995,"12","scrub",12,"Dec","1995-12-15",349,32.8688430786133,12,15,0.4943,0.4804,0.4943,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"278",1995,"08","broadleaf",8,"Aug","1995-08-15",227,100.958801269531,8,15,0.7484,0.7031,0.7484,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"279",1995,"07","Lloyd",7,"Jul","1995-07-15",196,135.85466003418,7,15,0.6427,0.5995,0.6427,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"280",1995,"07","scrub",7,"Jul","1995-07-15",196,51.3220634460449,7,15,0.3729,0.4416,0.4416,15,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36,"nino","no.event","wk","nina","wk","no.event"
"281",1996,"01","Lloyd",1,"Jan","1996-01-15",15,15.9324617385864,13,15,0.6396,0.6653,0.6653,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"282",1996,"01","broadleaf",1,"Jan","1996-01-15",15,16.6565284729004,13,15,0.779,0.7308,0.779,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"283",1996,"02","scrub",2,"Feb","1996-02-15",46,28.7325172424316,14,15,0.4774,0.4894,0.4894,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"284",1996,"01","scrub",1,"Jan","1996-01-15",15,25.6487598419189,13,15,0.4874,0.4933,0.4933,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"285",1996,"02","broadleaf",2,"Feb","1996-02-15",46,19.5861110687256,14,15,0.6883,0.5939,0.6883,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"286",1996,"02","Lloyd",2,"Feb","1996-02-15",46,27.9857387542725,14,15,0.6923,0.6723,0.6923,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"287",1996,"04","broadleaf",4,"Apr","1996-04-15",106,73.0743255615234,16,15,0.7706,0.7882,0.7882,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"288",1996,"03","broadleaf",3,"Mar","1996-03-15",75,36.8099327087402,15,15,0.6282,0.7457,0.7457,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"289",1996,"03","Lloyd",3,"Mar","1996-03-15",75,55.2735786437988,15,15,0.5534,0.6871,0.6871,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"290",1996,"03","scrub",3,"Mar","1996-03-15",75,34.9077262878418,15,15,0.4923,0.4814,0.4923,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"291",1996,"05","Lloyd",5,"May","1996-05-15",136,214.694091796875,17,15,0.6815,0.6148,0.6815,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"292",1996,"05","scrub",5,"May","1996-05-15",136,68.8706283569336,17,15,0.4635,0.345,0.4635,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"293",1996,"06","broadleaf",6,"Jun","1996-06-15",167,52.768180847168,18,15,0.6938,0.766,0.766,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"294",1996,"06","Lloyd",6,"Jun","1996-06-15",167,84.3978118896484,18,15,0.6575,0.6575,0.6575,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"295",1996,"06","scrub",6,"Jun","1996-06-15",167,39.3932304382324,18,15,0.3729,0.5003,0.5003,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"296",1996,"07","broadleaf",7,"Jul","1996-07-15",197,45.7076797485352,19,15,0.6781,0.6901,0.6901,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"297",1996,"07","Lloyd",7,"Jul","1996-07-15",197,76.4809875488281,19,15,0.664,0.6745,0.6745,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"298",1996,"07","scrub",7,"Jul","1996-07-15",197,49.5547561645508,19,15,0.3251,0.362,0.362,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"299",1996,"08","broadleaf",8,"Aug","1996-08-15",228,39.905517578125,20,15,0.7123,0.6689,0.7123,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"300",1996,"08","Lloyd",8,"Aug","1996-08-15",228,129.206298828125,20,15,0.6762,0.6693,0.6762,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"301",1996,"04","Lloyd",4,"Apr","1996-04-15",106,127.776489257812,16,15,0.6544,0.6366,0.6544,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"302",1996,"04","scrub",4,"Apr","1996-04-15",106,61.4126815795898,16,15,0.4286,0.4943,0.4943,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"303",1996,"05","broadleaf",5,"May","1996-05-15",136,90.4870529174805,17,15,0.5893,0.6087,0.6087,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"304",1996,"09","scrub",9,"Sep","1996-09-15",259,110.091125488281,21,15,0.2117,0.5292,0.5292,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"305",1996,"10","broadleaf",10,"Oct","1996-10-15",289,152.909210205078,22,15,0.8474,0.8539,0.8539,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"306",1996,"10","Lloyd",10,"Oct","1996-10-15",289,232.901397705078,22,15,0.6117,0.7106,0.7106,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"307",1996,"10","scrub",10,"Oct","1996-10-15",289,103.680709838867,22,15,0.5182,0.6148,0.6148,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"308",1996,"11","broadleaf",11,"Nov","1996-11-15",320,84.5931930541992,23,15,0.8761,0.754,0.8761,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"309",1996,"11","Lloyd",11,"Nov","1996-11-15",320,99.1733779907227,23,15,0.7146,0.6627,0.7146,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"310",1996,"11","scrub",11,"Nov","1996-11-15",320,50.4978981018066,23,15,0.6934,0.602,0.6934,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"311",1996,"12","broadleaf",12,"Dec","1996-12-15",350,22.9166107177734,24,15,0.7031,0.8456,0.8456,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"312",1996,"12","Lloyd",12,"Dec","1996-12-15",350,34.3746223449707,24,15,0.6675,0.6876,0.6876,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"313",1996,"12","scrub",12,"Dec","1996-12-15",350,31.155834197998,24,15,0.5361,0.5373,0.5373,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"314",1996,"08","scrub",8,"Aug","1996-08-15",228,38.736988067627,20,15,0.3998,0.3968,0.3998,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"315",1996,"09","broadleaf",9,"Sep","1996-09-15",259,122.522857666016,21,15,0.5107,0.8298,0.8298,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"316",1996,"09","Lloyd",9,"Sep","1996-09-15",259,266.224731445312,21,15,0.6078,0.6161,0.6161,15,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7,"no.event","no.event","no.event","nina","no.event","wk"
"317",1997,"01","broadleaf",1,"Jan","1997-01-15",15,16.6565284729004,25,15,0.8382,0.7836,0.8382,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"318",1997,"02","Lloyd",2,"Feb","1997-02-15",46,18.7028484344482,26,15,0.6823,0.6693,0.6823,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"319",1997,"02","scrub",2,"Feb","1997-02-15",46,26.5846900939941,26,15,0.4247,0.4028,0.4247,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"320",1997,"03","broadleaf",3,"Mar","1997-03-15",74,28.8828716278076,27,15,0.7494,0.667,0.7494,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"321",1997,"03","Lloyd",3,"Mar","1997-03-15",74,37.3798141479492,27,15,0.6919,0.5542,0.6919,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"322",1997,"03","scrub",3,"Mar","1997-03-15",74,35.7134170532227,27,15,0.3669,0.3152,0.3669,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"323",1997,"04","broadleaf",4,"Apr","1997-04-15",105,45.9659729003906,28,15,0.6383,0.7993,0.7993,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"324",1997,"04","Lloyd",4,"Apr","1997-04-15",105,58.1839981079102,28,15,0.5542,0.6557,0.6557,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"325",1997,"04","scrub",4,"Apr","1997-04-15",105,39.4738731384277,28,15,0.3679,0.5132,0.5132,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"326",1997,"05","broadleaf",5,"May","1997-05-15",135,29.8187637329102,29,15,0.778,0.7281,0.778,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"327",1997,"05","Lloyd",5,"May","1997-05-15",135,82.0296325683594,29,15,0.6117,0.6017,0.6117,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"328",1997,"01","Lloyd",1,"Jan","1997-01-15",15,15.9324617385864,25,15,0.6862,0.6366,0.6862,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"329",1997,"01","scrub",1,"Jan","1997-01-15",15,25.6487598419189,25,15,0.4854,0.4207,0.4854,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"330",1997,"02","broadleaf",2,"Feb","1997-02-15",46,17.752067565918,26,15,0.8252,0.7845,0.8252,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"331",1997,"06","scrub",6,"Jun","1997-06-15",166,45.4473648071289,30,15,0.4575,0.4675,0.4675,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"332",1997,"07","broadleaf",7,"Jul","1997-07-15",196,28.8316097259521,31,15,0.5245,0.6467,0.6467,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"333",1997,"07","Lloyd",7,"Jul","1997-07-15",196,65.0414047241211,31,15,0.6309,0.6584,0.6584,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"334",1997,"07","scrub",7,"Jul","1997-07-15",196,30.9539222717285,31,15,0.4436,0.4217,0.4436,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"335",1997,"08","broadleaf",8,"Aug","1997-08-15",227,41.3987579345703,32,15,0.6541,0.6938,0.6938,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"336",1997,"08","Lloyd",8,"Aug","1997-08-15",227,102.870162963867,32,15,0.6871,0.6557,0.6871,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"337",1997,"08","scrub",8,"Aug","1997-08-15",227,32.2324447631836,32,15,0.4157,0.4416,0.4416,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
"338",1997,"09","broadleaf",9,"Sep","1997-09-15",258,63.8422393798828,33,15,0.7577,0.6559,0.7577,15,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05,"nino","vry.str","no.event","no.event","no.event","no.event"
